Time,SenderSumoID,SenderStationID,OffenderSumoID,OffenderStationID,DetectedSpeed,PosX,PosY,ViolationType
5.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.545,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.645,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.745,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.845,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
5.945,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.045,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.145,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.245,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.345,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
6.445,veh1,376,18,veh0,38.210,2786.730,7545.270,Critical
